,Load Time,Prompt Eval Time,Prompt Eval Tokens,Prompt Eval Time Per Token,Prompt Eval Tokens Per Sec,Eval Time,Eval Tokens,Eval Time per token,Eval Tokens Per Sec,Total Time,Total Tokens (high),Finish Reason,Prompt Tokens,Completion Tokens,Total Tokens (low),Dataset,Prompt,Q_type
0,1.0530599999999999,1.05295,17.0,0.061939999999999995,16.15,10.09534,36.0,0.28043,3.57,11.23558,53.0,stop,17,36,53,gemma3-12b-z-1100%,What is the capital of Australia?,Zero-Shot
1,1.0530599999999999,1.20419,20.0,0.06021,16.61,34.93146,124.0,0.28170999999999996,3.55,36.37546,144.0,stop,24,124,148,gemma3-12b-z-1100%,Translate the following English sentence to Spanish: 'How are you today?',Zero-Shot
2,1.0530599999999999,1.21362,20.0,0.06068,16.48,63.11002,223.0,0.283,3.53,64.77321,243.0,stop,24,223,247,gemma3-12b-z-1100%,Is the following statement true or false? 'The Earth is flat.',Zero-Shot
3,1.0530599999999999,1.76224,26.0,0.06778,14.75,8.98304,32.0,0.28072,3.56,10.8031,58.0,stop,30,32,62,gemma3-12b-z-1100%,Identify the primary emotion expressed in the following sentence: 'I am absolutely thrilled about the new project!',Zero-Shot
4,1.0530599999999999,0.93186,16.0,0.05824,17.17,32.10543,114.0,0.28163,3.55,33.26307,130.0,stop,20,114,134,gemma3-12b-z-1100%,Convert 100 degrees Celsius to Fahrenheit.,Zero-Shot
5,1.0530599999999999,1.18584,14.0,0.0847,11.81,31.23428,111.0,0.28139,3.55,32.6326,125.0,stop,18,111,129,gemma3-12b-z-1100%,What is the largest mammal on Earth?,Zero-Shot
6,1.0530599999999999,1.08945,17.0,0.06409000000000001,15.6,6.16266,22.0,0.28012,3.57,7.29439,39.0,stop,21,22,43,gemma3-12b-z-1100%,Write a single sentence describing the function of a heart.,Zero-Shot
7,1.0530599999999999,1.18485,14.0,0.08463,11.82,6.73415,24.0,0.28058999999999995,3.56,7.96276,38.0,stop,18,24,42,gemma3-12b-z-1100%,What is the chemical symbol for gold?,Zero-Shot
8,1.0530599999999999,1.47052,24.0,0.061270000000000005,16.32,30.642509999999998,109.0,0.28112,3.56,32.3468,133.0,stop,28,109,137,gemma3-12b-z-1100%,"Classify the following animal as a mammal, reptile, or bird: 'Penguin'",Zero-Shot
9,1.0530599999999999,1.19925,20.0,0.05996,16.68,34.4891,122.0,0.2827,3.54,35.917379999999994,142.0,stop,24,122,146,gemma3-12b-z-1100%,Explain the concept of supply and demand in economics in one short paragraph.,Zero-Shot
